model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.451612903,0.777777778,0,1,0.77968088,2022,0.449017427,1,0.638103891,1150000,0.2,0.026315789,14,7,0,4,145,1
0.612903226,0.555555556,1,1,0.362390697,2015,0.307378569,1,0.640279857,415000,0.2,0.210526316,19,5,1,4,714,1
0.741935484,0.777777778,1,1,0.732894618,2021,0.479050797,1,0.664227711,750000,0.2,0.052631579,23,7,1,4,1158,1
0.322580645,0.222222222,1,1,0.141891283,2015,0.472005933,1,0.708073713,398000,0.2,0.210526316,10,2,1,4,642,1
0.290322581,0.222222222,1,1,0.120436311,2015,0.430849092,1,0.697140325,550000,0.2,0.210526316,9,2,1,4,891,1
0.612903226,0.222222222,0,1,0.359686289,2016,0.593993326,1,0.66293263,453000,0.2,0.184210526,19,2,0,4,751,1
0.612903226,0.222222222,1,1,0.350671595,2010,0.441972562,1,0.686971637,285000,0.2,0.342105263,19,2,1,4,441,1
0.225806452,0.777777778,0,2,0.548363833,2018,0.286243975,1,0.654821657,821000,0.2,0.131578947,7,7,0,4,1241,1
0.322580645,0.222222222,1,1,0.735238439,2021,0.516129032,1,0.638103891,865000,0.2,0.052631579,10,2,1,4,1279,1
0.290322581,0.222222222,0,1,0.586045254,2019,0.412309974,1,0.630272843,792000,0.2,0.105263158,9,2,0,4,1195,1
0.612903226,0.222222222,1,1,0.569638511,2018,0.553207267,1,0.697140325,610000,0.2,0.131578947,19,2,1,4,991,1
0.322580645,0.222222222,1,2,0.50455242,2018,0.438264739,1,0.698573946,511000,0.2,0.131578947,10,2,1,4,852,1
0.903225806,0.777777778,1,1,0.540160462,2019,0.53466815,0.25,0.718109631,710000,0.2,0.105263158,28,7,1,1,1119,1
0.419354839,0.777777778,1,1,0.98557649,2017,0.371523915,0.25,0.71404466,1225000,0.2,0.157894737,13,7,1,1,169,1
0.290322581,0.888888889,1,1,0.114937348,2014,0.382647386,1,0.737319046,570000,0.2,0.236842105,9,8,1,4,911,1
0.290322581,0.888888889,1,2,0.104660597,2014,0.404894327,1,0.741299194,375000,0.2,0.236842105,9,8,1,4,618,1
0.322580645,0.222222222,1,1,0.499684486,2016,0.490174268,1,0.664227711,275000,0.2,0.184210526,10,2,1,4,432,1
0.290322581,0.888888889,1,1,0.104840891,2014,0.404894327,1,0.665507801,429000,0.2,0.236842105,9,8,1,4,728,1
0.612903226,0.222222222,1,1,0.374921121,2018,0.67185762,0.25,0.713547121,675000,0.2,0.131578947,19,2,1,1,1056,1
0.290322581,0.888888889,1,2,0.109077797,2017,0.39747868,1,0.692891288,793000,0.2,0.157894737,9,8,1,4,1196,1
0.903225806,0.777777778,0,1,0.655728838,2020,0.449017427,0.5,0.638103891,1100000,0.2,0.078947368,28,7,0,2,127,1
0.322580645,0.777777778,0,1,0.129721446,2019,0.368186874,0.25,0.638103891,1425000,0.2,0.105263158,10,7,0,1,228,1
0.322580645,0.777777778,0,1,0.625709907,2020,0.410456062,1,0.643434178,1036000,0.2,0.078947368,10,7,0,4,98,1
0.290322581,0.888888889,1,1,0.109167944,2016,0.39747868,1,0.727423076,800000,0.2,0.184210526,9,8,1,4,1223,1
0.032258065,0.888888889,0,2,0.0044172,2013,0.239154616,1,0.73356402,1400000,0.2,0.263157895,1,8,0,4,221,1
0.290322581,0.888888889,0,2,0.654466781,2019,0.382647386,1,0.664996266,1088000,0.2,0.105263158,9,8,0,4,121,1
0.612903226,0.222222222,0,2,0.356531146,2017,0.530960326,1,0.718819507,590000,0.2,0.157894737,19,2,0,4,931,1
0.322580645,0.222222222,1,1,0.139277022,2016,0.438264739,1,0.624710171,568000,0.2,0.184210526,10,2,1,4,909,1
