model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
Sonet,SUV,Automatic,1,8654,Kia,2022,19.18624891,Petrol,20000,1150000,Chennai,2
Eeco,Minivans,Manual,1,4025,Maruti,2015,15.37,Petrol,20687,415000,Chennai,9
Magnite,SUV,Manual,1,8135,Nissan,2021,20,Petrol,30000,750000,Chennai,3
i10,Hatchback,Manual,1,1579,Hyundai,2015,19.81,Petrol,59247,398000,Chennai,9
Jazz,Hatchback,Manual,1,1341,Honda,2015,18.7,Petrol,50000,550000,Chennai,9
E-Class,Sedan,Automatic,1,4570,Mercedes-Benz,2016,13,Diesel,20000,3300000,Chennai,8
Celerio,Hatchback,Automatic,1,3995,Maruti,2016,23.1,Petrol,29403,453000,Chennai,8
A-Star,Hatchback,Manual,1,3895,Maruti,2010,19,Petrol,42700,285000,Chennai,14
X3,SUV,Automatic,1,6367,BMW,2018,16.55,Diesel,23001,5000000,Chennai,6
Ecosport,SUV,Automatic,2,6088,Ford,2018,14.8,Petrol,25925,821000,Chennai,6
i20,Hatchback,Manual,1,8161,Hyundai,2021,21,Petrol,20000,865000,Chennai,3
Jazz,Hatchback,Automatic,1,6506,Honda,2019,18.2,Petrol,17711,792000,Chennai,5
3,Sedan,Automatic,1,7103,BMW,2020,20.37,Diesel,50000,4050000,Chennai,4
Swift,Hatchback,Manual,1,6324,Maruti,2018,22,Petrol,50000,610000,Chennai,6
Grand,Hatchback,Manual,2,5602,Hyundai,2018,18.9,Petrol,51125,511000,Chennai,6
Nexon,SUV,Manual,1,5997,Tata,2019,21.5,Diesel,69233,710000,Chennai,5
Compass,SUV,Manual,1,10938,Jeep,2017,17.1,Diesel,65000,1225000,Chennai,7
City,Sedan,Manual,1,1280,Honda,2014,17.4,Petrol,93281,570000,Chennai,10
Fortuner,SUV,Manual,1,8243,Toyota,2022,19.18624891,Diesel,18000,3900000,Chennai,2
Amaze,Sedan,Manual,2,1166,Honda,2014,18,Petrol,99225,375000,Chennai,10
EON,Hatchback,Manual,1,5548,Hyundai,2016,20.3,Petrol,30000,275000,Chennai,8
Amaze,Sedan,Manual,1,1168,Honda,2014,18,Petrol,30602,429000,Chennai,10
Swift,Hatchback,Manual,1,4164,Maruti,2018,25.2,Diesel,64500,675000,Chennai,6
City,Sedan,Manual,2,1215,Honda,2017,17.8,Petrol,46809,793000,Chennai,7
Nexon,SUV,Automatic,1,7279,Tata,2020,19.18624891,Electric,20000,1100000,Chennai,4
Creta,SUV,Automatic,1,1444,Hyundai,2019,17.01,Diesel,20000,1425000,Chennai,5
Venue,SUV,Automatic,1,6946,Hyundai,2020,18.15,Petrol,21725,1036000,Chennai,4
City,Sedan,Manual,1,1216,Honda,2016,17.8,Petrol,80000,800000,Chennai,8
A6,Sedan,Automatic,2,54,Audi,2013,13.53,Petrol,88000,1400000,Chennai,11
City,Sedan,Automatic,2,7265,Honda,2019,17.4,Petrol,30360,1088000,Chennai,5
Baleno,Hatchback,Automatic,2,3960,Maruti,2017,21.4,Petrol,70000,590000,Chennai,7
Grand,Hatchback,Manual,1,1550,Hyundai,2016,18.9,Petrol,16246,568000,Chennai,8
Celerio,Hatchback,Automatic,2,3981,Maruti,2017,23.1,Petrol,55000,400000,Chennai,7
Innova,MUV,Automatic,1,8188,Toyota,2022,8,Petrol,13000,2790000,Chennai,2
Celerio,Hatchback,Automatic,2,3995,Maruti,2016,23.1,Petrol,71638,422000,Chennai,8
Amaze,Sedan,Manual,1,1165,Honda,2015,18,Petrol,46105,450000,Chennai,9
WR-V,SUV,Manual,1,5668,Honda,2017,17.5,Petrol,60000,650000,Chennai,7
Jazz,Hatchback,Manual,1,1344,Honda,2017,27.3,Diesel,80000,575000,Chennai,7
B,Hatchback,Automatic,1,4535,Mercedes-Benz,2015,15,Diesel,58000,1950000,Chennai,9
Esteem,Sedan,Manual,2,4077,Maruti,2008,15.9,Petrol,70000,150000,Chennai,16
Baleno,Hatchback,Automatic,1,3960,Maruti,2017,21.4,Petrol,61764,702000,Chennai,7
KUV,SUV,Manual,2,3565,Mahindra,2016,18.15,Petrol,36018,448000,Chennai,8
Duster,SUV,Automatic,1,5046,Renault,2016,19.6,Diesel,150000,650000,Chennai,8
Grand,Hatchback,Manual,1,7543,Hyundai,2022,20.7,Petrol,17197,801000,Chennai,2
City,Sedan,Automatic,2,1217,Honda,2016,18,Petrol,62931,772000,Chennai,8
Corolla,Sedan,Manual,2,2152,Toyota,2013,14.53,Petrol,90000,500000,Chennai,11
XUV300,SUV,Manual,1,7242,Mahindra,2021,16.82,Petrol,21023,1103000,Chennai,3
Corolla,Sedan,Manual,1,5667,Toyota,2018,21.43,Diesel,43000,1490000,Chennai,6
Swift,Sedan,Automatic,1,5824,Maruti,2017,28.4,Diesel,110505,627000,Chennai,7
Verna,Sedan,Manual,1,5967,Hyundai,2018,17,Petrol,78892,835000,Chennai,6
A6,Sedan,Automatic,1,36,Audi,2015,18.53,Diesel,59000,2089999,Chennai,9
Sail,Sedan,Manual,1,548,Chevrolet,2014,18.2,Petrol,90058,350000,Chennai,10
